gene,matrix_index
SNHG3,358
TRNAU1AP,359
SNHG12,360
TAF12,362
RAB42,363
RNU11,364
GMEB1,365
YTHDF2,366
OPRD1,367
EPB41,368
TMEM200B,369
MECR,370
PTPRU,371
LAPTM5,372
MATN1,373
SDC3,374
PUM1,375
SNRNP40,379
ZCCHC17,380
FABP3,381
SERINC2,382
TINAGL1,383
HCRTR1,384
PEF1,385
COL16A1,386
BAI2,387
SPOCD1,388
PTP4A2,389
KHDRBS1,390
TMEM39B,391
KPNA6,392
TXLNA,393
CCDC28B,394
IQCC,395
DCDC2B,396
EIF3I,397
LCK,399
HDAC1,400
MARCKSL1,401
TSSK3,402
BSDC1,403
ZBTB8B,404
ZBTB8A,405
ZBTB8OS,406
RBBP4,407
SYNC,408
KIAA1522,409
YARS,410
S100PBP,411
FNDC5,412
HPCA,413
TMEM54,414
RNF19B,415
AK2,416
TRIM62,418
ZNF362,419
PHC2,420
ZSCAN20,421
CSMD2,422
HMGB4,423
C1orf94,424
GJB5,425
GJB4,426
GJB3,427
GJA4,428
DLGAP3,429
ZMYM6,430
ZMYM1,431
SFPQ,432
ZMYM4,433
KIAA0319L,434
NCDN,435
PSMB2,437
C1orf216,438
CLSPN,439
TEKT2,440
ADPRHL2,441
COL8A2,442
TRAPPC3,443
MAP7D1,444
THRAP3,445
STK40,446
LSM10,447
OSCP1,448
MRPS15,449
CSF3R,450
GRIK3,451
ZC3H12A,452
MEAF6,453
SNIP1,454
DNALI1,455
GNL2,456
RSPO1,457
C1orf109,458
CDCA8,459
EPHA10,460
MANEAL,461
YRDC,462
C1orf122,463
MTF1,464
INPP5B,465
SF3A3,466
FHL3,467
UTP11L,468
POU3F1,469
RRAGC,470
MYCBP,471
GJA9,472
RHBDL2,473
AKIRIN1,474
NDUFS5,475
MACF1,476
KIAA0754,477
PABPC4,479
HEYL,481
HPCAL4,482
NT5C1A,483
PPIE,484
BMP8B,485
OXCT2,486
TRIT1,487
MFSD2A,488
CAP1,489
PPT1,490
RLF,491
TMCO2,492
ZMPSTE24,493
COL9A2,494
SMAP2,495
ZNF684,496
RIMS3,497
NFYC,498
KCNQ4,499
CITED4,500
SLFNL1,501
SCMH1,502
HIVEP3,504
GUCA2B,505
GUCA2A,506
FOXJ3,507
RIMKLA,508
ZMYND12,509
PPCS,510
CCDC30,511
PPIH,512
YBX1,513
CLDN19,514
C1orf50,516
CCDC23,517
ERMAP,518
ZNF691,519
SLC2A1,520
EBNA1BP2,522
TIE1,526
MPL,527
CDC20,528
ELOVL1,529
MED8,530
HYI,531
PTPRF,532
KDM4A,533
ST3GAL3,534
ARTN,535
IPO13,536
DPH2,537
ATP6V0B,538
B4GALT2,539
CCDC24,540
SLC6A9,541
KLF17,542
DMAP1,543
ERI3,544
RNF220,545
TMEM53,546
C1orf228,547
KIF2C,548
PLK3,551
RPS8,552
SNORD38A,553
TCTEX1D4,556
PTCH2,557
EIF2B3,558
HECTD3,559
UROD,560
ZSWIM5,561
HPDL,562
MUTYH,563
TESK2,564
TOE1,565
MMACHC,567
PRDX1,568
AKR1A1,569
NASP,570
CCDC17,571
GPBP1L1,572
TMEM69,573
IPP,574
MAST2,575
PIK3R3,576
TSPAN1,577
POMGNT1,578
RAD54L,579
LRRC41,580
UQCRH,581
NSUN4,582
FAAH,583
DMBX1,584
MKNK1,586
ATPAF1,587
CYP4B1,588
CYP4A11,590
CYP4X1,591
CYP4A22,593
PDZK1IP1,594
TAL1,595
STIL,596
CMPK1,597
FOXD2,599
SPATA6,602
BEND5,604
ELAVL4,605
FAF1,607
CDKN2C,608
C1orf185,609
RNF11,610
TTC39A,611
EPS15,612
OSBPL9,613
NRD1,614
RAB3B,615
TXNDC12,616
KTI12,617
BTF3L4,618
ZFYVE9,619
CC2D1B,620
PRPF38A,621
